Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
158	-134	35	4588	158	-134	35	4588	158	-134	35	4588	158	-134	35	4588	158	-134	35	4588	158	-134	35	4588	158	-134	35	4588	158	-134	35	4588	158	-134	35	4588	158	-134	35	4588	158	-134	35	4588	158	-134	35	4588	158	-134	35	4588	158	-134	35	4588	158	-134	35	4588	158	-134	35	4588	158	-134	35	4588	158	-134	35	4588	158	-134	35	4588	158	-134	35	4588	158	-134	35	4588	158	-134	35	4588	158	-134	35	4588	158	-134	35	4588	158	-134	35	4588
159	-226	28	4616	159	-226	28	4616	159	-226	28	4616	159	-226	28	4616	159	-226	28	4616	159	-226	28	4616	159	-226	28	4616	159	-226	28	4616	159	-226	28	4616	159	-226	28	4616	159	-226	28	4616	159	-226	28	4616	159	-226	28	4616	159	-226	28	4616	159	-226	28	4616	159	-226	28	4616	159	-226	28	4616	159	-226	28	4616	159	-226	28	4616	159	-226	28	4616	159	-226	28	4616	159	-226	28	4616	159	-226	28	4616	159	-226	28	4616	159	-226	28	4616
160	-15	15	4631	160	-15	15	4631	160	-15	15	4631	160	-15	15	4631	160	-15	15	4631	160	-15	15	4631	160	-15	15	4631	160	-15	15	4631	160	-15	15	4631	160	-15	15	4631	160	-15	15	4631	160	-15	15	4631	160	-15	15	4631	160	-15	15	4631	160	-15	15	4631	160	-15	15	4631	160	-15	15	4631	160	-15	15	4631	160	-15	15	4631	160	-15	15	4631	160	-15	15	4631	160	-15	15	4631	160	-15	15	4631	160	-15	15	4631	160	-15	15	4631
161	-13	13	4644	161	-13	13	4644	161	-13	13	4644	161	-13	13	4644	161	-13	13	4644	161	-13	13	4644	161	-13	13	4644	161	-13	13	4644	161	-13	13	4644	161	-13	13	4644	161	-13	13	4644	161	-13	13	4644	161	-13	13	4644	161	-13	13	4644	161	-13	13	4644	161	-13	13	4644	161	-13	13	4644	161	-13	13	4644	161	-13	13	4644	161	-13	13	4644	161	-13	13	4644	161	-13	13	4644	161	-13	13	4644	161	-13	13	4644	161	-13	13	4644
162	-15	15	4659	162	-15	15	4659	162	-15	15	4659	162	-15	15	4659	162	-15	15	4659	162	-15	15	4659	162	-15	15	4659	162	-15	15	4659	162	-15	15	4659	162	-15	15	4659	162	-15	15	4659	162	-15	15	4659	162	-15	15	4659	162	-15	15	4659	162	-15	15	4659	162	-15	15	4659	162	-15	15	4659	162	-15	15	4659	162	-15	15	4659	162	-15	15	4659	162	-15	15	4659	162	-15	15	4659	162	-15	15	4659	162	-15	15	4659	162	-15	15	4659
163	-15	15	4674	163	-15	15	4674	163	-15	15	4674	163	-15	15	4674	163	-15	15	4674	163	-15	15	4674	163	-15	15	4674	163	-15	15	4674	163	-15	15	4674	163	-15	15	4674	163	-15	15	4674	163	-15	15	4674	163	-15	15	4674	163	-15	15	4674	163	-15	15	4674	163	-15	15	4674	163	-15	15	4674	163	-15	15	4674	163	-15	15	4674	163	-15	15	4674	163	-15	15	4674	163	-15	15	4674	163	-15	15	4674	163	-15	15	4674	163	-15	15	4674
164	-116	17	4691	164	-116	17	4691	164	-116	17	4691	164	-116	17	4691	164	-116	17	4691	164	-116	17	4691	164	-116	17	4691	164	-116	17	4691	164	-116	17	4691	164	-116	17	4691	164	-116	17	4691	164	-116	17	4691	164	-116	17	4691	164	-116	17	4691	164	-116	17	4691	164	-116	17	4691	164	-116	17	4691	164	-116	17	4691	164	-116	17	4691	164	-116	17	4691	164	-116	17	4691	164	-116	17	4691	164	-116	17	4691	164	-116	17	4691	164	-116	17	4691
165	-125	26	4717	165	-125	26	4717	165	-125	26	4717	165	-125	26	4717	165	-125	26	4717	165	-125	26	4717	165	-125	26	4717	165	-125	26	4717	165	-125	26	4717	165	-125	26	4717	165	-125	26	4717	165	-125	26	4717	165	-125	26	4717	165	-125	26	4717	165	-125	26	4717	165	-125	26	4717	165	-125	26	4717	165	-125	26	4717	165	-125	26	4717	165	-125	26	4717	165	-125	26	4717	165	-125	26	4717	165	-125	26	4717	165	-125	26	4717	165	-125	26	4717
166	-16	16	4733	166	-16	16	4733	166	-16	16	4733	166	-16	16	4733	166	-16	16	4733	166	-16	16	4733	166	-16	16	4733	166	-16	16	4733	166	-16	16	4733	166	-16	16	4733	166	-16	16	4733	166	-16	16	4733	166	-16	16	4733	166	-16	16	4733	166	-16	16	4733	166	-16	16	4733	166	-16	16	4733	166	-16	16	4733	166	-16	16	4733	166	-16	16	4733	166	-16	16	4733	166	-16	16	4733	166	-16	16	4733	166	-16	16	4733	166	-16	16	4733
167	-13	13	4746	167	-13	13	4746	167	-13	13	4746	167	-13	13	4746	167	-13	13	4746	167	-13	13	4746	167	-13	13	4746	167	-13	13	4746	167	-13	13	4746	167	-13	13	4746	167	-13	13	4746	167	-13	13	4746	167	-13	13	4746	167	-13	13	4746	167	-13	13	4746	167	-13	13	4746	167	-13	13	4746	167	-13	13	4746	167	-13	13	4746	167	-13	13	4746	167	-13	13	4746	167	-13	13	4746	167	-13	13	4746	167	-13	13	4746	167	-13	13	4746
168	-13	13	4759	168	-13	13	4759	168	-13	13	4759	168	-13	13	4759	168	-13	13	4759	168	-13	13	4759	168	-13	13	4759	168	-13	13	4759	168	-13	13	4759	168	-13	13	4759	168	-13	13	4759	168	-13	13	4759	168	-13	13	4759	168	-13	13	4759	168	-13	13	4759	168	-13	13	4759	168	-13	13	4759	168	-13	13	4759	168	-13	13	4759	168	-13	13	4759	168	-13	13	4759	168	-13	13	4759	168	-13	13	4759	168	-13	13	4759	168	-13	13	4759
169	-120	21	4780	169	-120	21	4780	169	-120	21	4780	169	-120	21	4780	169	-120	21	4780	169	-120	21	4780	169	-120	21	4780	169	-120	21	4780	169	-120	21	4780	169	-120	21	4780	169	-120	21	4780	169	-120	21	4780	169	-120	21	4780	169	-120	21	4780	169	-120	21	4780	169	-120	21	4780	169	-120	21	4780	169	-120	21	4780	169	-120	21	4780	169	-120	21	4780	169	-120	21	4780	169	-120	21	4780	169	-120	21	4780	169	-120	21	4780	169	-120	21	4780
170	-17	17	4797	170	-17	17	4797	170	-17	17	4797	170	-17	17	4797	170	-17	17	4797	170	-17	17	4797	170	-17	17	4797	170	-17	17	4797	170	-17	17	4797	170	-17	17	4797	170	-17	17	4797	170	-17	17	4797	170	-17	17	4797	170	-17	17	4797	170	-17	17	4797	170	-17	17	4797	170	-17	17	4797	170	-17	17	4797	170	-17	17	4797	170	-17	17	4797	170	-17	17	4797	170	-17	17	4797	170	-17	17	4797	170	-17	17	4797	170	-17	17	4797
171	-13	13	4810	171	-13	13	4810	171	-13	13	4810	171	-13	13	4810	171	-13	13	4810	171	-13	13	4810	171	-13	13	4810	171	-13	13	4810	171	-13	13	4810	171	-13	13	4810	171	-13	13	4810	171	-13	13	4810	171	-13	13	4810	171	-13	13	4810	171	-13	13	4810	171	-13	13	4810	171	-13	13	4810	171	-13	13	4810	171	-13	13	4810	171	-13	13	4810	171	-13	13	4810	171	-13	13	4810	171	-13	13	4810	171	-13	13	4810	171	-13	13	4810
172	-120	21	4831	172	-120	21	4831	172	-120	21	4831	172	-120	21	4831	172	-120	21	4831	172	-120	21	4831	172	-120	21	4831	172	-120	21	4831	172	-120	21	4831	172	-120	21	4831	172	-120	21	4831	172	-120	21	4831	172	-120	21	4831	172	-120	21	4831	172	-120	21	4831	172	-120	21	4831	172	-120	21	4831	172	-120	21	4831	172	-120	21	4831	172	-120	21	4831	172	-120	21	4831	172	-120	21	4831	172	-120	21	4831	172	-120	21	4831	172	-120	21	4831
173	-13	13	4844	173	-13	13	4844	173	-13	13	4844	173	-13	13	4844	173	-13	13	4844	173	-13	13	4844	173	-13	13	4844	173	-13	13	4844	173	-13	13	4844	173	-13	13	4844	173	-13	13	4844	173	-13	13	4844	173	-13	13	4844	173	-13	13	4844	173	-13	13	4844	173	-13	13	4844	173	-13	13	4844	173	-13	13	4844	173	-13	13	4844	173	-13	13	4844	173	-13	13	4844	173	-13	13	4844	173	-13	13	4844	173	-13	13	4844	173	-13	13	4844
174	-13	13	4857	174	-13	13	4857	174	-13	13	4857	174	-13	13	4857	174	-13	13	4857	174	-13	13	4857	174	-13	13	4857	174	-13	13	4857	174	-13	13	4857	174	-13	13	4857	174	-13	13	4857	174	-13	13	4857	174	-13	13	4857	174	-13	13	4857	174	-13	13	4857	174	-13	13	4857	174	-13	13	4857	174	-13	13	4857	174	-13	13	4857	174	-13	13	4857	174	-13	13	4857	174	-13	13	4857	174	-13	13	4857	174	-13	13	4857	174	-13	13	4857
175	-13	13	4870	175	-13	13	4870	175	-13	13	4870	175	-13	13	4870	175	-13	13	4870	175	-13	13	4870	175	-13	13	4870	175	-13	13	4870	175	-13	13	4870	175	-13	13	4870	175	-13	13	4870	175	-13	13	4870	175	-13	13	4870	175	-13	13	4870	175	-13	13	4870	175	-13	13	4870	175	-13	13	4870	175	-13	13	4870	175	-13	13	4870	175	-13	13	4870	175	-13	13	4870	175	-13	13	4870	175	-13	13	4870	175	-13	13	4870	175	-13	13	4870
176	-13	13	4883	176	-13	13	4883	176	-13	13	4883	176	-13	13	4883	176	-13	13	4883	176	-13	13	4883	176	-13	13	4883	176	-13	13	4883	176	-13	13	4883	176	-13	13	4883	176	-13	13	4883	176	-13	13	4883	176	-13	13	4883	176	-13	13	4883	176	-13	13	4883	176	-13	13	4883	176	-13	13	4883	176	-13	13	4883	176	-13	13	4883	176	-13	13	4883	176	-13	13	4883	176	-13	13	4883	176	-13	13	4883	176	-13	13	4883	176	-13	13	4883
177	-13	13	4896	177	-13	13	4896	177	-13	13	4896	177	-13	13	4896	177	-13	13	4896	177	-13	13	4896	177	-13	13	4896	177	-13	13	4896	177	-13	13	4896	177	-13	13	4896	177	-13	13	4896	177	-13	13	4896	177	-13	13	4896	177	-13	13	4896	177	-13	13	4896	177	-13	13	4896	177	-13	13	4896	177	-13	13	4896	177	-13	13	4896	177	-13	13	4896	177	-13	13	4896	177	-13	13	4896	177	-13	13	4896	177	-13	13	4896	177	-13	13	4896
178	-13	13	4909	178	-13	13	4909	178	-13	13	4909	178	-13	13	4909	178	-13	13	4909	178	-13	13	4909	178	-13	13	4909	178	-13	13	4909	178	-13	13	4909	178	-13	13	4909	178	-13	13	4909	178	-13	13	4909	178	-13	13	4909	178	-13	13	4909	178	-13	13	4909	178	-13	13	4909	178	-13	13	4909	178	-13	13	4909	178	-13	13	4909	178	-13	13	4909	178	-13	13	4909	178	-13	13	4909	178	-13	13	4909	178	-13	13	4909	178	-13	13	4909
179	-15	15	4924	179	-15	15	4924	179	-15	15	4924	179	-15	15	4924	179	-15	15	4924	179	-15	15	4924	179	-15	15	4924	179	-15	15	4924	179	-15	15	4924	179	-15	15	4924	179	-15	15	4924	179	-15	15	4924	179	-15	15	4924	179	-15	15	4924	179	-15	15	4924	179	-15	15	4924	179	-15	15	4924	179	-15	15	4924	179	-15	15	4924	179	-15	15	4924	179	-15	15	4924	179	-15	15	4924	179	-15	15	4924	179	-15	15	4924	179	-15	15	4924
180	-14	14	4938	180	-14	14	4938	180	-14	14	4938	180	-14	14	4938	180	-14	14	4938	180	-14	14	4938	180	-14	14	4938	180	-14	14	4938	180	-14	14	4938	180	-14	14	4938	180	-14	14	4938	180	-14	14	4938	180	-14	14	4938	180	-14	14	4938	180	-14	14	4938	180	-14	14	4938	180	-14	14	4938	180	-14	14	4938	180	-14	14	4938	180	-14	14	4938	180	-14	14	4938	180	-14	14	4938	180	-14	14	4938	180	-14	14	4938	180	-14	14	4938
181	-13	13	4951	181	-13	13	4951	181	-13	13	4951	181	-13	13	4951	181	-13	13	4951	181	-13	13	4951	181	-13	13	4951	181	-13	13	4951	181	-13	13	4951	181	-13	13	4951	181	-13	13	4951	181	-13	13	4951	181	-13	13	4951	181	-13	13	4951	181	-13	13	4951	181	-13	13	4951	181	-13	13	4951	181	-13	13	4951	181	-13	13	4951	181	-13	13	4951	181	-13	13	4951	181	-13	13	4951	181	-13	13	4951	181	-13	13	4951	181	-13	13	4951
182	-123	24	4975	182	-123	24	4975	182	-123	24	4975	182	-123	24	4975	182	-123	24	4975	182	-123	24	4975	182	-123	24	4975	182	-123	24	4975	182	-123	24	4975	182	-123	24	4975	182	-123	24	4975	182	-123	24	4975	182	-123	24	4975	182	-123	24	4975	182	-123	24	4975	182	-123	24	4975	182	-123	24	4975	182	-123	24	4975	182	-123	24	4975	182	-123	24	4975	182	-123	24	4975	182	-123	24	4975	182	-123	24	4975	182	-123	24	4975	182	-123	24	4975
183	-117	18	4993	183	-117	18	4993	183	-117	18	4993	183	-117	18	4993	183	-117	18	4993	183	-117	18	4993	183	-117	18	4993	183	-117	18	4993	183	-117	18	4993	183	-117	18	4993	183	-117	18	4993	183	-117	18	4993	183	-117	18	4993	183	-117	18	4993	183	-117	18	4993	183	-117	18	4993	183	-117	18	4993	183	-117	18	4993	183	-117	18	4993	183	-117	18	4993	183	-117	18	4993	183	-117	18	4993	183	-117	18	4993	183	-117	18	4993	183	-117	18	4993
184	-13	13	5006	184	-13	13	5006	184	-13	13	5006	184	-13	13	5006	184	-13	13	5006	184	-13	13	5006	184	-13	13	5006	184	-13	13	5006	184	-13	13	5006	184	-13	13	5006	184	-13	13	5006	184	-13	13	5006	184	-13	13	5006	184	-13	13	5006	184	-13	13	5006	184	-13	13	5006	184	-13	13	5006	184	-13	13	5006	184	-13	13	5006	184	-13	13	5006	184	-13	13	5006	184	-13	13	5006	184	-13	13	5006	184	-13	13	5006	184	-13	13	5006
185	-15	15	5021	185	-15	15	5021	185	-15	15	5021	185	-15	15	5021	185	-15	15	5021	185	-15	15	5021	185	-15	15	5021	185	-15	15	5021	185	-15	15	5021	185	-15	15	5021	185	-15	15	5021	185	-15	15	5021	185	-15	15	5021	185	-15	15	5021	185	-15	15	5021	185	-15	15	5021	185	-15	15	5021	185	-15	15	5021	185	-15	15	5021	185	-15	15	5021	185	-15	15	5021	185	-15	15	5021	185	-15	15	5021	185	-15	15	5021	185	-15	15	5021
186	-15	15	5036	186	-15	15	5036	186	-15	15	5036	186	-15	15	5036	186	-15	15	5036	186	-15	15	5036	186	-15	15	5036	186	-15	15	5036	186	-15	15	5036	186	-15	15	5036	186	-15	15	5036	186	-15	15	5036	186	-15	15	5036	186	-15	15	5036	186	-15	15	5036	186	-15	15	5036	186	-15	15	5036	186	-15	15	5036	186	-15	15	5036	186	-15	15	5036	186	-15	15	5036	186	-15	15	5036	186	-15	15	5036	186	-15	15	5036	186	-15	15	5036
187	-13	13	5049	187	-13	13	5049	187	-13	13	5049	187	-13	13	5049	187	-13	13	5049	187	-13	13	5049	187	-13	13	5049	187	-13	13	5049	187	-13	13	5049	187	-13	13	5049	187	-13	13	5049	187	-13	13	5049	187	-13	13	5049	187	-13	13	5049	187	-13	13	5049	187	-13	13	5049	187	-13	13	5049	187	-13	13	5049	187	-13	13	5049	187	-13	13	5049	187	-13	13	5049	187	-13	13	5049	187	-13	13	5049	187	-13	13	5049	187	-13	13	5049
188	-13	13	5062	188	-13	13	5062	188	-13	13	5062	188	-13	13	5062	188	-13	13	5062	188	-13	13	5062	188	-13	13	5062	188	-13	13	5062	188	-13	13	5062	188	-13	13	5062	188	-13	13	5062	188	-13	13	5062	188	-13	13	5062	188	-13	13	5062	188	-13	13	5062	188	-13	13	5062	188	-13	13	5062	188	-13	13	5062	188	-13	13	5062	188	-13	13	5062	188	-13	13	5062	188	-13	13	5062	188	-13	13	5062	188	-13	13	5062	188	-13	13	5062
189	-13	13	5075	189	-13	13	5075	189	-13	13	5075	189	-13	13	5075	189	-13	13	5075	189	-13	13	5075	189	-13	13	5075	189	-13	13	5075	189	-13	13	5075	189	-13	13	5075	189	-13	13	5075	189	-13	13	5075	189	-13	13	5075	189	-13	13	5075	189	-13	13	5075	189	-13	13	5075	189	-13	13	5075	189	-13	13	5075	189	-13	13	5075	189	-13	13	5075	189	-13	13	5075	189	-13	13	5075	189	-13	13	5075	189	-13	13	5075	189	-13	13	5075
190	-16	16	5091	190	-16	16	5091	190	-16	16	5091	190	-16	16	5091	190	-16	16	5091	190	-16	16	5091	190	-16	16	5091	190	-16	16	5091	190	-16	16	5091	190	-16	16	5091	190	-16	16	5091	190	-16	16	5091	190	-16	16	5091	190	-16	16	5091	190	-16	16	5091	190	-16	16	5091	190	-16	16	5091	190	-16	16	5091	190	-16	16	5091	190	-16	16	5091	190	-16	16	5091	190	-16	16	5091	190	-16	16	5091	190	-16	16	5091	190	-16	16	5091
191	-13	13	5104	191	-13	13	5104	191	-13	13	5104	191	-13	13	5104	191	-13	13	5104	191	-13	13	5104	191	-13	13	5104	191	-13	13	5104	191	-13	13	5104	191	-13	13	5104	191	-13	13	5104	191	-13	13	5104	191	-13	13	5104	191	-13	13	5104	191	-13	13	5104	191	-13	13	5104	191	-13	13	5104	191	-13	13	5104	191	-13	13	5104	191	-13	13	5104	191	-13	13	5104	191	-13	13	5104	191	-13	13	5104	191	-13	13	5104	191	-13	13	5104
192	-14	14	5118	192	-14	14	5118	192	-14	14	5118	192	-14	14	5118	192	-14	14	5118	192	-14	14	5118	192	-14	14	5118	192	-14	14	5118	192	-14	14	5118	192	-14	14	5118	192	-14	14	5118	192	-14	14	5118	192	-14	14	5118	192	-14	14	5118	192	-14	14	5118	192	-14	14	5118	192	-14	14	5118	192	-14	14	5118	192	-14	14	5118	192	-14	14	5118	192	-14	14	5118	192	-14	14	5118	192	-14	14	5118	192	-14	14	5118	192	-14	14	5118
193	-13	13	5131	193	-13	13	5131	193	-13	13	5131	193	-13	13	5131	193	-13	13	5131	193	-13	13	5131	193	-13	13	5131	193	-13	13	5131	193	-13	13	5131	193	-13	13	5131	193	-13	13	5131	193	-13	13	5131	193	-13	13	5131	193	-13	13	5131	193	-13	13	5131	193	-13	13	5131	193	-13	13	5131	193	-13	13	5131	193	-13	13	5131	193	-13	13	5131	193	-13	13	5131	193	-13	13	5131	193	-13	13	5131	193	-13	13	5131	193	-13	13	5131
194	-121	22	5153	194	-121	22	5153	194	-121	22	5153	194	-121	22	5153	194	-121	22	5153	194	-121	22	5153	194	-121	22	5153	194	-121	22	5153	194	-121	22	5153	194	-121	22	5153	194	-121	22	5153	194	-121	22	5153	194	-121	22	5153	194	-121	22	5153	194	-121	22	5153	194	-121	22	5153	194	-121	22	5153	194	-121	22	5153	194	-121	22	5153	194	-121	22	5153	194	-121	22	5153	194	-121	22	5153	194	-121	22	5153	194	-121	22	5153	194	-121	22	5153
195	-13	13	5166	195	-13	13	5166	195	-13	13	5166	195	-13	13	5166	195	-13	13	5166	195	-13	13	5166	195	-13	13	5166	195	-13	13	5166	195	-13	13	5166	195	-13	13	5166	195	-13	13	5166	195	-13	13	5166	195	-13	13	5166	195	-13	13	5166	195	-13	13	5166	195	-13	13	5166	195	-13	13	5166	195	-13	13	5166	195	-13	13	5166	195	-13	13	5166	195	-13	13	5166	195	-13	13	5166	195	-13	13	5166	195	-13	13	5166	195	-13	13	5166
196	-13	13	5179	196	-13	13	5179	196	-13	13	5179	196	-13	13	5179	196	-13	13	5179	196	-13	13	5179	196	-13	13	5179	196	-13	13	5179	196	-13	13	5179	196	-13	13	5179	196	-13	13	5179	196	-13	13	5179	196	-13	13	5179	196	-13	13	5179	196	-13	13	5179	196	-13	13	5179	196	-13	13	5179	196	-13	13	5179	196	-13	13	5179	196	-13	13	5179	196	-13	13	5179	196	-13	13	5179	196	-13	13	5179	196	-13	13	5179	196	-13	13	5179
197	-115	16	5195	197	-115	16	5195	197	-115	16	5195	197	-115	16	5195	197	-115	16	5195	197	-115	16	5195	197	-115	16	5195	197	-115	16	5195	197	-115	16	5195	197	-115	16	5195	197	-115	16	5195	197	-115	16	5195	197	-115	16	5195	197	-115	16	5195	197	-115	16	5195	197	-115	16	5195	197	-115	16	5195	197	-115	16	5195	197	-115	16	5195	197	-115	16	5195	197	-115	16	5195	197	-115	16	5195	197	-115	16	5195	197	-115	16	5195	197	-115	16	5195
198	-120	21	5216	198	-120	21	5216	198	-120	21	5216	198	-120	21	5216	198	-120	21	5216	198	-120	21	5216	198	-120	21	5216	198	-120	21	5216	198	-120	21	5216	198	-120	21	5216	198	-120	21	5216	198	-120	21	5216	198	-120	21	5216	198	-120	21	5216	198	-120	21	5216	198	-120	21	5216	198	-120	21	5216	198	-120	21	5216	198	-120	21	5216	198	-120	21	5216	198	-120	21	5216	198	-120	21	5216	198	-120	21	5216	198	-120	21	5216	198	-120	21	5216
199	-13	13	5229	199	-13	13	5229	199	-13	13	5229	199	-13	13	5229	199	-13	13	5229	199	-13	13	5229	199	-13	13	5229	199	-13	13	5229	199	-13	13	5229	199	-13	13	5229	199	-13	13	5229	199	-13	13	5229	199	-13	13	5229	199	-13	13	5229	199	-13	13	5229	199	-13	13	5229	199	-13	13	5229	199	-13	13	5229	199	-13	13	5229	199	-13	13	5229	199	-13	13	5229	199	-13	13	5229	199	-13	13	5229	199	-13	13	5229	199	-13	13	5229
