Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
178	-330	33	4938	178	-330	33	4938	178	-330	33	4938	178	-330	33	4938	178	-330	33	4938	178	-330	33	4938	178	-330	33	4938	178	-330	33	4938	178	-330	33	4938	178	-330	33	4938	178	-330	33	4938	178	-330	33	4938	178	-330	33	4938	178	-330	33	4938	178	-330	33	4938	178	-330	33	4938	178	-330	33	4938	178	-330	33	4938	178	-330	33	4938	178	-330	33	4938	178	-330	33	4938	178	-330	33	4938
179	-120	21	4959	179	-120	21	4959	179	-120	21	4959	179	-120	21	4959	179	-120	21	4959	179	-120	21	4959	179	-120	21	4959	179	-120	21	4959	179	-120	21	4959	179	-120	21	4959	179	-120	21	4959	179	-120	21	4959	179	-120	21	4959	179	-120	21	4959	179	-120	21	4959	179	-120	21	4959	179	-120	21	4959	179	-120	21	4959	179	-120	21	4959	179	-120	21	4959	179	-120	21	4959	179	-120	21	4959
180	-13	13	4972	180	-13	13	4972	180	-13	13	4972	180	-13	13	4972	180	-13	13	4972	180	-13	13	4972	180	-13	13	4972	180	-13	13	4972	180	-13	13	4972	180	-13	13	4972	180	-13	13	4972	180	-13	13	4972	180	-13	13	4972	180	-13	13	4972	180	-13	13	4972	180	-13	13	4972	180	-13	13	4972	180	-13	13	4972	180	-13	13	4972	180	-13	13	4972	180	-13	13	4972	180	-13	13	4972
181	-13	13	4985	181	-13	13	4985	181	-13	13	4985	181	-13	13	4985	181	-13	13	4985	181	-13	13	4985	181	-13	13	4985	181	-13	13	4985	181	-13	13	4985	181	-13	13	4985	181	-13	13	4985	181	-13	13	4985	181	-13	13	4985	181	-13	13	4985	181	-13	13	4985	181	-13	13	4985	181	-13	13	4985	181	-13	13	4985	181	-13	13	4985	181	-13	13	4985	181	-13	13	4985	181	-13	13	4985
182	-13	13	4998	182	-13	13	4998	182	-13	13	4998	182	-13	13	4998	182	-13	13	4998	182	-13	13	4998	182	-13	13	4998	182	-13	13	4998	182	-13	13	4998	182	-13	13	4998	182	-13	13	4998	182	-13	13	4998	182	-13	13	4998	182	-13	13	4998	182	-13	13	4998	182	-13	13	4998	182	-13	13	4998	182	-13	13	4998	182	-13	13	4998	182	-13	13	4998	182	-13	13	4998	182	-13	13	4998
183	-14	14	5012	183	-14	14	5012	183	-14	14	5012	183	-14	14	5012	183	-14	14	5012	183	-14	14	5012	183	-14	14	5012	183	-14	14	5012	183	-14	14	5012	183	-14	14	5012	183	-14	14	5012	183	-14	14	5012	183	-14	14	5012	183	-14	14	5012	183	-14	14	5012	183	-14	14	5012	183	-14	14	5012	183	-14	14	5012	183	-14	14	5012	183	-14	14	5012	183	-14	14	5012	183	-14	14	5012
184	-337	40	5052	184	-337	40	5052	184	-337	40	5052	184	-337	40	5052	184	-337	40	5052	184	-337	40	5052	184	-337	40	5052	184	-337	40	5052	184	-337	40	5052	184	-337	40	5052	184	-337	40	5052	184	-337	40	5052	184	-337	40	5052	184	-337	40	5052	184	-337	40	5052	184	-337	40	5052	184	-337	40	5052	184	-337	40	5052	184	-337	40	5052	184	-337	40	5052	184	-337	40	5052	184	-337	40	5052
185	-20	20	5072	185	-20	20	5072	185	-20	20	5072	185	-20	20	5072	185	-20	20	5072	185	-20	20	5072	185	-20	20	5072	185	-20	20	5072	185	-20	20	5072	185	-20	20	5072	185	-20	20	5072	185	-20	20	5072	185	-20	20	5072	185	-20	20	5072	185	-20	20	5072	185	-20	20	5072	185	-20	20	5072	185	-20	20	5072	185	-20	20	5072	185	-20	20	5072	185	-20	20	5072	185	-20	20	5072
186	-13	13	5085	186	-13	13	5085	186	-13	13	5085	186	-13	13	5085	186	-13	13	5085	186	-13	13	5085	186	-13	13	5085	186	-13	13	5085	186	-13	13	5085	186	-13	13	5085	186	-13	13	5085	186	-13	13	5085	186	-13	13	5085	186	-13	13	5085	186	-13	13	5085	186	-13	13	5085	186	-13	13	5085	186	-13	13	5085	186	-13	13	5085	186	-13	13	5085	186	-13	13	5085	186	-13	13	5085
187	-118	19	5104	187	-118	19	5104	187	-118	19	5104	187	-118	19	5104	187	-118	19	5104	187	-118	19	5104	187	-118	19	5104	187	-118	19	5104	187	-118	19	5104	187	-118	19	5104	187	-118	19	5104	187	-118	19	5104	187	-118	19	5104	187	-118	19	5104	187	-118	19	5104	187	-118	19	5104	187	-118	19	5104	187	-118	19	5104	187	-118	19	5104	187	-118	19	5104	187	-118	19	5104	187	-118	19	5104
188	-121	22	5126	188	-121	22	5126	188	-121	22	5126	188	-121	22	5126	188	-121	22	5126	188	-121	22	5126	188	-121	22	5126	188	-121	22	5126	188	-121	22	5126	188	-121	22	5126	188	-121	22	5126	188	-121	22	5126	188	-121	22	5126	188	-121	22	5126	188	-121	22	5126	188	-121	22	5126	188	-121	22	5126	188	-121	22	5126	188	-121	22	5126	188	-121	22	5126	188	-121	22	5126	188	-121	22	5126
189	-13	13	5139	189	-13	13	5139	189	-13	13	5139	189	-13	13	5139	189	-13	13	5139	189	-13	13	5139	189	-13	13	5139	189	-13	13	5139	189	-13	13	5139	189	-13	13	5139	189	-13	13	5139	189	-13	13	5139	189	-13	13	5139	189	-13	13	5139	189	-13	13	5139	189	-13	13	5139	189	-13	13	5139	189	-13	13	5139	189	-13	13	5139	189	-13	13	5139	189	-13	13	5139	189	-13	13	5139
190	-121	22	5161	190	-121	22	5161	190	-121	22	5161	190	-121	22	5161	190	-121	22	5161	190	-121	22	5161	190	-121	22	5161	190	-121	22	5161	190	-121	22	5161	190	-121	22	5161	190	-121	22	5161	190	-121	22	5161	190	-121	22	5161	190	-121	22	5161	190	-121	22	5161	190	-121	22	5161	190	-121	22	5161	190	-121	22	5161	190	-121	22	5161	190	-121	22	5161	190	-121	22	5161	190	-121	22	5161
191	-15	15	5176	191	-15	15	5176	191	-15	15	5176	191	-15	15	5176	191	-15	15	5176	191	-15	15	5176	191	-15	15	5176	191	-15	15	5176	191	-15	15	5176	191	-15	15	5176	191	-15	15	5176	191	-15	15	5176	191	-15	15	5176	191	-15	15	5176	191	-15	15	5176	191	-15	15	5176	191	-15	15	5176	191	-15	15	5176	191	-15	15	5176	191	-15	15	5176	191	-15	15	5176	191	-15	15	5176
192	-15	15	5191	192	-15	15	5191	192	-15	15	5191	192	-15	15	5191	192	-15	15	5191	192	-15	15	5191	192	-15	15	5191	192	-15	15	5191	192	-15	15	5191	192	-15	15	5191	192	-15	15	5191	192	-15	15	5191	192	-15	15	5191	192	-15	15	5191	192	-15	15	5191	192	-15	15	5191	192	-15	15	5191	192	-15	15	5191	192	-15	15	5191	192	-15	15	5191	192	-15	15	5191	192	-15	15	5191
193	-118	19	5210	193	-118	19	5210	193	-118	19	5210	193	-118	19	5210	193	-118	19	5210	193	-118	19	5210	193	-118	19	5210	193	-118	19	5210	193	-118	19	5210	193	-118	19	5210	193	-118	19	5210	193	-118	19	5210	193	-118	19	5210	193	-118	19	5210	193	-118	19	5210	193	-118	19	5210	193	-118	19	5210	193	-118	19	5210	193	-118	19	5210	193	-118	19	5210	193	-118	19	5210	193	-118	19	5210
194	-13	13	5223	194	-13	13	5223	194	-13	13	5223	194	-13	13	5223	194	-13	13	5223	194	-13	13	5223	194	-13	13	5223	194	-13	13	5223	194	-13	13	5223	194	-13	13	5223	194	-13	13	5223	194	-13	13	5223	194	-13	13	5223	194	-13	13	5223	194	-13	13	5223	194	-13	13	5223	194	-13	13	5223	194	-13	13	5223	194	-13	13	5223	194	-13	13	5223	194	-13	13	5223	194	-13	13	5223
195	-15	15	5238	195	-15	15	5238	195	-15	15	5238	195	-15	15	5238	195	-15	15	5238	195	-15	15	5238	195	-15	15	5238	195	-15	15	5238	195	-15	15	5238	195	-15	15	5238	195	-15	15	5238	195	-15	15	5238	195	-15	15	5238	195	-15	15	5238	195	-15	15	5238	195	-15	15	5238	195	-15	15	5238	195	-15	15	5238	195	-15	15	5238	195	-15	15	5238	195	-15	15	5238	195	-15	15	5238
196	-13	13	5251	196	-13	13	5251	196	-13	13	5251	196	-13	13	5251	196	-13	13	5251	196	-13	13	5251	196	-13	13	5251	196	-13	13	5251	196	-13	13	5251	196	-13	13	5251	196	-13	13	5251	196	-13	13	5251	196	-13	13	5251	196	-13	13	5251	196	-13	13	5251	196	-13	13	5251	196	-13	13	5251	196	-13	13	5251	196	-13	13	5251	196	-13	13	5251	196	-13	13	5251	196	-13	13	5251
197	-125	26	5277	197	-125	26	5277	197	-125	26	5277	197	-125	26	5277	197	-125	26	5277	197	-125	26	5277	197	-125	26	5277	197	-125	26	5277	197	-125	26	5277	197	-125	26	5277	197	-125	26	5277	197	-125	26	5277	197	-125	26	5277	197	-125	26	5277	197	-125	26	5277	197	-125	26	5277	197	-125	26	5277	197	-125	26	5277	197	-125	26	5277	197	-125	26	5277	197	-125	26	5277	197	-125	26	5277
198	-13	13	5290	198	-13	13	5290	198	-13	13	5290	198	-13	13	5290	198	-13	13	5290	198	-13	13	5290	198	-13	13	5290	198	-13	13	5290	198	-13	13	5290	198	-13	13	5290	198	-13	13	5290	198	-13	13	5290	198	-13	13	5290	198	-13	13	5290	198	-13	13	5290	198	-13	13	5290	198	-13	13	5290	198	-13	13	5290	198	-13	13	5290	198	-13	13	5290	198	-13	13	5290	198	-13	13	5290
199	-13	13	5303	199	-13	13	5303	199	-13	13	5303	199	-13	13	5303	199	-13	13	5303	199	-13	13	5303	199	-13	13	5303	199	-13	13	5303	199	-13	13	5303	199	-13	13	5303	199	-13	13	5303	199	-13	13	5303	199	-13	13	5303	199	-13	13	5303	199	-13	13	5303	199	-13	13	5303	199	-13	13	5303	199	-13	13	5303	199	-13	13	5303	199	-13	13	5303	199	-13	13	5303	199	-13	13	5303
